axis	omitted_tissue	baseline_evidence_grade	n_cohorts	random_effect_smd	random_effect_se	ci95_low	ci95_high	z_score	random_effect_p	tau2	i2_percent	positive_cohorts	negative_cohorts	direction_consistency	contributing_datasets	evidence_grade	grade_changed	smd_shift_from_overall	abs_smd_shift_from_overall
Fibrocartilage_matrix_K14P4	cartilage	strong_consistent	6	0.7066798459877495	0.2822748637362566	0.15342111306468653	1.2599385789108124	2.503516737671816	0.012296586400581127	0.22342754604022302	49.54826703618792	5	1	0.8333333333333334	GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	strong_consistent	False	-0.09706514182266657	0.09706514182266657
Fibrocartilage_matrix_K14P4	meniscus	strong_consistent	6	0.9866000462707768	0.17744049664910114	0.6388166728385386	1.3343834197030149	5.560174057796037	2.6950573194080914e-08	0.0	0.0	6	0	1.0	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457,GSE89408	strong_consistent	False	0.18285505846036076	0.18285505846036076
Fibrocartilage_matrix_K14P4	synovium	strong_consistent	6	0.6586304855695947	0.2893305389875079	0.09154262915407929	1.22571834198511	2.276394631117843	0.022822400731939266	0.17317128228275383	35.98870877737232	5	1	0.8333333333333334	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE98918	strong_consistent	False	-0.14511450224082134	0.14511450224082134
Fibrotic_remodeling_K14P7	cartilage	heterogeneous_or_inconsistent	6	-0.15293562170598352	0.4912683004907219	-1.1158214906677983	0.8099502472558314	-0.31130773459882916	0.7555666878711031	1.1280191612647008	82.4373200065342	2	4	0.6666666666666666	GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	-0.4511792398085873	0.4511792398085873
Fibrotic_remodeling_K14P7	meniscus	heterogeneous_or_inconsistent	6	0.9485032683356188	0.4733170127838409	0.020801923279290646	1.876204613391947	2.0039492406092547	0.04507549807840878	1.0579610437092708	82.51297176767166	4	2	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457,GSE89408	heterogeneous_signal	True	0.650259650233015	0.650259650233015
Fibrotic_remodeling_K14P7	synovium	heterogeneous_or_inconsistent	6	0.058470018835332524	0.7635492463654018	-1.438086504040855	1.5550265417115199	0.07657661783265161	0.938960360588712	3.045935723805091	89.15539476001412	2	4	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE98918	heterogeneous_or_inconsistent	False	-0.23977359926727126	0.23977359926727126
Generic_stress_K14P1	cartilage	heterogeneous_or_inconsistent	6	-0.7336448211043084	0.5654298798662146	-1.8418873856420892	0.3745977434334723	-1.297499207643386	0.1944594775695766	1.5905283949680689	86.48067430504196	1	5	0.8333333333333334	GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.23284817766212718	0.23284817766212718
Generic_stress_K14P1	meniscus	heterogeneous_or_inconsistent	6	-1.2158898133151184	0.6186359096195878	-2.4284161961695103	-0.00336343046072618	-1.965436849701781	0.0493636979976646	1.937409526491573	89.21867086524189	1	5	0.8333333333333334	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457,GSE89408	heterogeneous_signal	True	-0.2493968145486828	0.2493968145486828
Generic_stress_K14P1	synovium	heterogeneous_or_inconsistent	6	-1.0368064215614279	0.22122833654181495	-1.470413961183385	-0.6031988819394706	-4.68658960135271	2.777952296622531e-06	0.0	0.0	0	6	1.0	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE98918	strong_consistent	True	-0.07031342279499231	0.07031342279499231
MSP_angiogenic_K14P9	cartilage	heterogeneous_or_inconsistent	6	-0.2291432655010499	0.428240861768842	-1.0684953545679803	0.6102088235658805	-0.5350803390283153	0.5925943046918998	0.8146480482782957	78.05664216708416	3	3	0.5	GSE185064,GSE191157,GSE55235,GSE55457,GSE89408,GSE98918	heterogeneous_or_inconsistent	False	0.3188500416487857	0.3188500416487857
MSP_angiogenic_K14P9	meniscus	heterogeneous_or_inconsistent	6	-0.8574462254787127	0.531306309165108	-1.8988065914423244	0.18391414048489896	-1.6138453669524446	0.10656097137038466	1.4214113803478925	86.67238108353575	1	5	0.8333333333333334	GSE114007,GSE143514,GSE169077,GSE55235,GSE55457,GSE89408	heterogeneous_or_inconsistent	False	-0.3094529183288771	0.3094529183288771
MSP_angiogenic_K14P9	synovium	heterogeneous_or_inconsistent	6	-0.5612135529416802	0.5312913576799871	-1.602544613994455	0.48011750811109466	-1.056319747778988	0.29082215678962053	1.2982814962755238	79.17741663933661	2	4	0.6666666666666666	GSE114007,GSE143514,GSE169077,GSE185064,GSE191157,GSE98918	heterogeneous_or_inconsistent	False	-0.013220245791844554	0.013220245791844554
