axis_id	phase	evidence_grade	ligand	receptor	pathway	source_reference	sender_state	receiver_state	ligand_state_support	receptor_state_support	pair_context_score	context_call	combined_context_priority	cellchat_include	liana_include	nichenet_ligand	notes
MIF_CD74	phase_1_frontline	frontline_context_supported	MIF	CD74	MIF_CD74	GSE220243_meniscus	fibrochondrocyte_core	immune_myeloid	0.8309141418604672	1.5386201639434942	1.1306906089520332	context_supported	13.19189423348782	True	True	True	Ready for formal communication-tool testing with expression-context support.
MIF_CD74	phase_1_frontline	frontline_context_supported	MIF	CD74	MIF_CD74	HRA001986_chondrocyte	Ch.5(cycling)	Ch.5(cycling)	1.0373272541675558	0.0836247565324232	0.2945271448851683	context_weak_supported	13.19189423348782	True	True	True	Ready for formal communication-tool testing with expression-context support.
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	ITGB1	ANGPTL4_integrin	GSE220243_meniscus	fibrochondrocyte_core	mural_smooth_muscle	0.619709509959343	0.9766029898216853	0.7779525436986666	context_supported	12.847567562929704	True	True	True	Ready for formal communication-tool testing with expression-context support.
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	ITGB1	ANGPTL4_integrin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.2(FNDC1)	0.3820686378645924	0.9761500753049304	0.6107015061576105	context_supported	12.847567562929704	True	True	True	Ready for formal communication-tool testing with expression-context support.
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	ITGAV	ANGPTL4_integrin	GSE220243_meniscus	fibrochondrocyte_core	outer_fibrous_like	0.619709509959343	0.301523839839622	0.4322698127652121	context_supported	12.133371067815306	True	True	True	Ready for formal communication-tool testing with expression-context support.
ANGPTL4_integrin	phase_1_frontline	frontline_context_supported	ANGPTL4	ITGAV	ANGPTL4_integrin	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.3(PRG4)	0.3820686378645924	0.2911103331438741	0.3335028162588551	context_supported	12.133371067815306	True	True	True	Ready for formal communication-tool testing with expression-context support.
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	FLT1	VEGF	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.7142404048536378	0.5891219143364409	0.6486714689300044	context_supported	10.952357403816022	True	True	True	Ready for formal communication-tool testing with expression-context support.
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	FLT1	VEGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.3(PRG4)	0.3664870483647171	0.0048682732499419	0.0422393074517578	ligand_or_receptor_sparse	10.952357403816022	True	True	True	Use as hypothesis only unless receptor protein/pathway activation is validated.
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	KDR	VEGF	GSE220243_meniscus	fibrochondrocyte_core	endothelial	0.7142404048536378	0.3095213753324376	0.4701836581893239	context_supported	10.39688495123614	True	True	True	Ready for formal communication-tool testing with expression-context support.
VEGF	phase_1_frontline	frontline_context_supported	VEGFA	KDR	VEGF	HRA001986_chondrocyte	Ch.3(PRG4)	Ch.5(cycling)	0.3664870483647171	0.0023227208099905	0.0291761391179288	ligand_or_receptor_sparse	10.39688495123614	True	True	True	Use as hypothesis only unless receptor protein/pathway activation is validated.
